faq_id,title,question,answer,tags
HR-018,薪酬福利常见问题,社保/公积金缴纳比例是多少？,社保/公积金缴纳比例与基数以当地政策与公司制度为准，可联系HR获取最新口径。,benefits
HR-019,薪酬福利常见问题,补充医疗/商业保险怎么用？,如公司提供补充医疗/商保，请按保险平台指引提交材料与报案，具体理赔以保险条款为准。,benefits
HR-020,员工生命周期流程,入职需要准备哪些材料？,入职前请按通知准备身份证明、学历证明、银行卡信息等材料；如需体检按公司安排执行。,onboarding
HR-021,员工生命周期流程,试用期多久？试用期考核怎么做？,试用期时长与考核方式以劳动合同与公司制度为准，通常由直属主管与HR共同评估。,onboarding
HR-022,员工生命周期流程,离职流程怎么走？,离职需在系统提交离职申请，完成审批、交接与资产归还；离职证明与结算按流程办理。,offboarding
HR-023,员工生命周期流程,转岗/调岗怎么申请？,转岗/调岗通常需要直属主管与目标团队沟通确认，并按公司流程提交申请与审批。,internal_move
HR-024,差旅报销流程,差旅如何报销？需要哪些凭证？,差旅报销请按公司差旅制度，提交行程单、发票及相关凭证，按系统流程审批。,expense;travel
HR-025,差旅报销时效,差旅报销需要在多久内提交？,报销时效以公司财务制度为准，请尽量在规定时间内提交，避免影响结算。,expense;travel
HR-026,交通报销流程,交通如何报销？需要哪些凭证？,交通报销需提供合规票据与出行说明，按制度与系统流程提交审批。,expense
HR-027,交通报销时效,交通报销需要在多久内提交？,报销时效以公司财务制度为准，请尽量在规定时间内提交，避免影响结算。,expense
HR-028,餐费报销流程,餐费如何报销？需要哪些凭证？,餐费报销需按制度标准提供票据与事由说明，超标部分处理以制度为准。,expense
HR-029,餐费报销时效,餐费报销需要在多久内提交？,报销时效以公司财务制度为准，请尽量在规定时间内提交，避免影响结算。,expense
HR-030,采购报销流程,采购如何报销？需要哪些凭证？,采购类报销需先走采购/审批流程，确保合规后再按财务要求报销。,expense;procurement
HR-031,采购报销时效,采购报销需要在多久内提交？,报销时效以公司财务制度为准，请尽量在规定时间内提交，避免影响结算。,expense;procurement
HR-032,差旅出行,出差如何申请？,出差通常需要先提交出差申请，明确时间、地点、预算与目的，审批通过后再预订。,travel
HR-033,差旅出行,机票/酒店怎么预订？,如公司有指定平台请优先使用；若需自行预订，请保留合规票据与行程凭证。,travel
HR-034,IT与资产支持,邮箱/账号如何开通？,账号通常在入职后由IT统一开通，如未开通请提交工单或联系IT支持。,it;account
HR-035,IT与资产支持,忘记密码怎么办？,可通过自助重置或提交工单处理，涉及权限变更需按流程审批。,it;account
HR-036,IT与资产支持,VPN怎么申请？,如需VPN，请按IT规定提交申请并完成审批，配置方式以IT指引为准。,it
HR-037,IT与资产支持,办公软件许可证怎么申请？,如需特定软件/许可证，请提交申请说明用途与期限，按部门与IT流程审批。,it
HR-038,IT与资产支持,电脑/工牌等资产如何领用与归还？,资产领用与归还需按公司资产流程登记，离职时需完成归还与核验。,asset
HR-039,公司制度,法定节假日怎么安排？,法定节假日一般按国家安排执行，如有调班或特殊安排以公司通知为准。,holiday;policy
HR-040,公司制度,年终奖/绩效奖金怎么发？,绩效与奖金发放规则以公司制度与绩效结果为准，具体请关注公司公告或咨询HR。,policy;payroll
HR-041,公司制度,保密制度有哪些要求？,请遵守公司保密与信息安全制度，禁止泄露敏感信息；如有疑问请咨询HR或安全负责人。,policy;security
HR-042,年假申请流程,年假如何申请？需要走什么流程？,年假可在系统中发起申请，建议提前提交，审批通过后生效。年假天数以公司政策与工龄规则为准。,leave;attendance
HR-043,病假申请流程,病假如何申请？需要走什么流程？,病假需在系统中提交请假单，并按要求补充病假证明。具体证明要求以公司制度为准。,leave;attendance
HR-044,事假申请流程,事假如何申请？需要走什么流程？,事假可在系统提交申请，说明事由与时间安排。审批通过后生效，是否带薪以公司制度为准。,leave;attendance
HR-045,调休申请流程,调休如何申请？需要走什么流程？,调休需满足可用调休额度，在系统中选择调休类型并提交审批。,leave;attendance
HR-046,产假/陪产假申请流程,产假/陪产假如何申请？需要走什么流程？,产假/陪产假请按公司制度准备材料并在系统提交申请，HR 会协助确认时长与手续。,leave;benefits
HR-047,考勤处理规则,迟到/早退如何处理？,如发生迟到/早退，请在系统按规定进行补卡/说明并提交审批。考勤结果以系统记录与审批为准。,attendance
HR-048,考勤处理规则,忘记打卡如何办？,可在系统发起补卡申请，填写原因与时间，按流程审批后更新考勤记录。,attendance
HR-049,考勤处理规则,忘记打卡如何处理？,可在系统发起补卡申请，填写原因与时间，按流程审批后更新考勤记录。,attendance
HR-050,考勤处理规则,加班如何申请？,加班需按部门要求在系统发起申请并保留相关记录，是否结算调休/加班费以制度为准。,attendance;ot
HR-051,考勤处理规则,远程办公如何申请？,如需远程办公，请按部门与公司制度提前申请并获得审批，期间需保持工作可达与产出可追踪。,attendance;remote
HR-052,薪酬福利常见问题,工资条在哪儿查看？,工资条可在指定平台/系统中查看，如无法访问请联系HR或IT支持。,payroll
HR-053,薪酬福利常见问题,补充医疗/商业保险如何用？,如公司提供补充医疗/商保，请按保险平台指引提交材料与报案，具体理赔以保险条款为准。,benefits
HR-054,员工生命周期流程,试用期多久？试用期考核如何做？,试用期时长与考核方式以劳动合同与公司制度为准，通常由直属主管与HR共同评估。,onboarding
HR-055,员工生命周期流程,离职流程如何走？,离职需在系统提交离职申请，完成审批、交接与资产归还；离职证明与结算按流程办理。,offboarding
HR-056,员工生命周期流程,转岗/调岗如何申请？,转岗/调岗通常需要直属主管与目标团队沟通确认，并按公司流程提交申请与审批。,internal_move
HR-057,差旅报销流程,差旅如何报销？要准备什么凭证？,差旅报销请按公司差旅制度，提交行程单、发票及相关凭证，按系统流程审批。,expense;travel
HR-058,交通报销流程,交通如何报销？要准备什么凭证？,交通报销需提供合规票据与出行说明，按制度与系统流程提交审批。,expense
HR-059,餐费报销流程,餐费如何报销？要准备什么凭证？,餐费报销需按制度标准提供票据与事由说明，超标部分处理以制度为准。,expense
HR-060,采购报销流程,采购如何报销？要准备什么凭证？,采购类报销需先走采购/审批流程，确保合规后再按财务要求报销。,expense;procurement
HR-061,差旅出行,机票/酒店如何预订？,如公司有指定平台请优先使用；若需自行预订，请保留合规票据与行程凭证。,travel
HR-062,IT与资产支持,忘记密码如何办？,可通过自助重置或提交工单处理，涉及权限变更需按流程审批。,it;account
HR-063,IT与资产支持,忘记密码如何处理？,可通过自助重置或提交工单处理，涉及权限变更需按流程审批。,it;account
HR-064,IT与资产支持,VPN如何申请？,如需VPN，请按IT规定提交申请并完成审批，配置方式以IT指引为准。,it
HR-065,IT与资产支持,办公软件许可证如何申请？,如需特定软件/许可证，请提交申请说明用途与期限，按部门与IT流程审批。,it
HR-066,公司制度,法定节假日如何安排？,法定节假日一般按国家安排执行，如有调班或特殊安排以公司通知为准。,holiday;policy
HR-067,公司制度,年终奖/绩效奖金如何发？,绩效与奖金发放规则以公司制度与绩效结果为准，具体请关注公司公告或咨询HR。,policy;payroll
